idx,n,density,noise,phi_r_ccs,phi_wms_min,phi_mean,phi_max
214,4,0.5,0.2,0.002045273941471195,0.005898278099929659,1.43030277352369e-17,1.1327032941666004e-16
215,4,0.5,0.2,0.034847033534251524,0.028006771869647618,0.0,0.0
216,4,0.5,0.2,0.02478941249409902,0.017673055050782555,0.0,0.0
217,4,0.5,0.2,0.01589399913301092,0.0049509446214161534,0.0,0.0
218,4,0.5,0.2,0.0004487888245648193,0.0004487888245648193,0.0,0.0
219,4,0.5,0.2,0.0015081239210666094,0.00045628018984972263,0.0,0.0
220,4,0.5,0.2,0.03164222678199578,0.03164222678199578,0.0250273839864716,0.2777382523341365
221,4,0.5,0.2,0.00997149669848443,0.007887186081998634,2.3786965033975997e-17,1.3121234959625905e-16
222,4,0.5,0.2,0.00013423947958107751,0.00013423947958107751,0.0,0.0
223,4,0.5,0.2,0.0005883310447181711,0.0005883310447181711,0.0,0.0
224,4,0.5,0.2,0.01734628776165473,0.013139882903424861,0.0,0.0
225,4,0.8,0.0,0.0,0.0,0.0,0.0
226,4,0.8,0.0,0.0,0.0,0.0,0.0
227,4,0.8,0.0,0.0,0.0,0.0,0.0
228,4,0.8,0.0,0.0,0.0,0.0,0.0
229,4,0.8,0.0,-4.336808689942018e-19,-0.0015512200017411873,0.021405008660266202,0.19264507794239583
230,4,0.8,0.0,0.0,0.0,0.2,1.0
231,4,0.8,0.0,0.0,0.0,0.2358395832131406,1.0
232,4,0.8,0.0,0.0,0.0,0.0,0.0
233,4,0.8,0.0,0.0,0.0,0.0,0.0
234,4,0.8,0.0,0.0,0.0,0.0,0.0
235,4,0.8,0.0,0.0,0.0,0.0,0.0
236,4,0.8,0.0,6.128578518228064e-05,6.128578518228064e-05,0.23706205247465817,2.0
237,4,0.8,0.0,0.00012499307638740836,0.00012499307638740836,0.0,0.0
238,4,0.8,0.0,0.0,0.0,0.0,0.0
239,4,0.8,0.0,0.0,0.0,0.0,0.0
240,4,0.8,0.05,0.12480891660537864,-0.27060585819975796,3.3285780659774526e-17,3.4646913152112735e-16
241,4,0.8,0.05,0.027489906829310004,0.012483662629325962,4.950445340692379e-16,3.4233657319656957e-15
242,4,0.8,0.05,0.10054662527308074,0.10068802202785548,0.0471395196194006,0.7542323139104096
243,4,0.8,0.05,0.0021416866608678546,-0.138113997078411,0.0,0.0
244,4,0.8,0.05,0.1655734300310972,0.1655734300310972,0.0,0.0
245,4,0.8,0.05,0.0011811221961629185,0.0011811221961629185,1.077214458899848e-16,1.7235431342397568e-15
246,4,0.8,0.05,0.00042222896783583597,0.00042222896783583597,0.0942790392388012,1.5084646278208191
247,4,0.8,0.05,0.0902822430011244,0.0902822430011244,0.0,0.0
248,4,0.8,0.05,0.032585881842265484,-0.09170016192497757,0.009256778160091458,0.14810845056146332
249,4,0.8,0.05,0.013917403166009555,0.013662508878078213,0.009256778160091537,0.14810845056146332
250,4,0.8,0.05,0.03352537361175013,0.023093484185533003,0.0,0.0
251,4,0.8,0.05,0.0941951677388494,0.0941951677388494,0.11412990650968446,1.5084646278208191
252,4,0.8,0.05,0.03739248115336256,0.025027181896779275,0.0,0.0
253,4,0.8,0.05,0.08023706711580166,0.08023706711580166,0.009256778160091475,0.14810845056146332
254,4,0.8,0.05,0.05624439000166491,0.014917742969407621,0.0,0.0
255,4,0.8,0.2,0.004341370696893183,0.0006675919581585268,0.0,0.0
256,4,0.8,0.2,0.012622306262330326,0.005007621713352561,0.0,0.0
257,4,0.8,0.2,0.028551096650006158,0.01506529060124219,0.015337486431176097,0.24539978289881756
258,4,0.8,0.2,0.042190871075884935,0.028180018423275784,9.355131890235305e-18,7.094093295645492e-17
259,4,0.8,0.2,0.02304878834700659,0.02304878834700659,0.007668743215588045,0.12269989144940872
260,4,0.8,0.2,0.012219985054674592,0.012219985054674592,0.0,0.0
261,4,0.8,0.2,0.006316972482440673,0.006316972482440673,0.025700652938727524,0.12269989144940883
262,4,0.8,0.2,0.0006106712100643968,0.0006106712100643968,0.01735864077088354,0.2777382523341365
263,4,0.8,0.2,0.04861196665020553,0.03718216967204965,3.2744899398172896e-17,9.751215041339108e-17
264,4,0.8,0.2,0.012375207089776921,0.006966759181619682,2.907834871789697e-17,1.000094128020267e-16
265,4,0.8,0.2,0.008995330584716837,0.008995330584716837,0.10991225368251209,0.555476504668273
266,4,0.8,0.2,0.018615735895461567,0.015813240868781386,8.687851275362628e-18,7.649973740453535e-17
267,4,0.8,0.2,0.003991965617876981,0.003991965617876981,0.07334451884510687,0.555476504668273
268,4,0.8,0.2,0.008738796532455025,0.002613314693571095,0.0076687432155880505,0.12269989144940872
269,4,0.8,0.2,0.061593894145878625,0.061593894145878625,0.05158998835638946,0.555476504668273
