id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
167,triad,3,"W=FALSE,S=copyA,C=NAND",0.0,0.0,4,3,0,0,1,0,(none)
168,triad,3,"W=FALSE,S=copyA,C=AND",0.0,0.0,4,3,0,0,1,0,(none)
169,triad,3,"W=FALSE,S=copyA,C=XNOR",0.0,0.0,4,3,0,0,1,1,(none)
170,triad,3,"W=FALSE,S=copyA,C=copyA",0.0,0.0,4,2,0,0,0,0,(none)
171,triad,3,"W=FALSE,S=copyA,C=A|~B",0.0,0.0,4,3,0,0,1,0,(none)
172,triad,3,"W=FALSE,S=copyA,C=copyB",0.0,0.0,4,2,0,0,1,0,(none)
173,triad,3,"W=FALSE,S=copyA,C=~A|B",0.0,0.0,4,3,0,0,1,0,(none)
174,triad,3,"W=FALSE,S=copyA,C=OR",0.0,0.0,4,3,0,0,1,0,(none)
175,triad,3,"W=FALSE,S=copyA,C=TRUE",0.0,0.0,2,1,0,0,0,0,(none)
176,triad,3,"W=FALSE,S=A|~B,C=FALSE",0.0,0.0,2,2,1,0,0,0,A|~B
177,triad,3,"W=FALSE,S=A|~B,C=NOR",0.0,0.0,3,4,1,0,1,0,A|~B
178,triad,3,"W=FALSE,S=A|~B,C=W&~C",0.0,0.0,3,4,1,0,1,0,A|~B
179,triad,3,"W=FALSE,S=A|~B,C=~C",0.0,0.0,3,3,1,0,1,0,A|~B
180,triad,3,"W=FALSE,S=A|~B,C=~W&C",0.0,0.0,4,4,1,0,1,0,A|~B
181,triad,3,"W=FALSE,S=A|~B,C=~W",0.0,0.0,4,3,1,0,0,0,A|~B
182,triad,3,"W=FALSE,S=A|~B,C=XOR",0.0,0.0,4,4,1,0,1,1,A|~B
183,triad,3,"W=FALSE,S=A|~B,C=NAND",0.0,0.0,4,4,1,0,1,0,A|~B
184,triad,3,"W=FALSE,S=A|~B,C=AND",0.0,0.0,4,4,1,0,1,0,A|~B
185,triad,3,"W=FALSE,S=A|~B,C=XNOR",0.0,0.0,4,4,1,0,1,1,A|~B
186,triad,3,"W=FALSE,S=A|~B,C=copyA",0.0,0.0,4,3,1,0,0,0,A|~B
187,triad,3,"W=FALSE,S=A|~B,C=A|~B",0.0,0.0,4,4,1,0,1,0,A|~B
188,triad,3,"W=FALSE,S=A|~B,C=copyB",0.0,0.0,3,3,1,0,1,0,A|~B
189,triad,3,"W=FALSE,S=A|~B,C=~A|B",0.0,0.0,3,4,1,0,1,0,A|~B
190,triad,3,"W=FALSE,S=A|~B,C=OR",0.0,0.0,3,4,1,0,1,0,A|~B
191,triad,3,"W=FALSE,S=A|~B,C=TRUE",0.0,0.0,2,2,1,0,0,0,A|~B
192,triad,3,"W=FALSE,S=copyB,C=FALSE",0.0,0.0,2,1,0,0,0,0,(none)
193,triad,3,"W=FALSE,S=copyB,C=NOR",0.0,0.0,3,3,0,0,1,0,(none)
194,triad,3,"W=FALSE,S=copyB,C=W&~C",0.0,0.0,3,3,0,0,1,0,(none)
195,triad,3,"W=FALSE,S=copyB,C=~C",0.0,0.0,2,2,0,0,1,0,(none)
196,triad,3,"W=FALSE,S=copyB,C=~W&C",0.0,0.0,3,3,0,0,1,0,(none)
197,triad,3,"W=FALSE,S=copyB,C=~W",0.0,0.0,4,2,0,0,0,0,(none)
198,triad,3,"W=FALSE,S=copyB,C=XOR",0.0,0.0,4,3,0,0,1,1,(none)
199,triad,3,"W=FALSE,S=copyB,C=NAND",0.0,0.0,3,3,0,0,1,0,(none)
200,triad,3,"W=FALSE,S=copyB,C=AND",0.0,0.0,3,3,0,0,1,0,(none)
201,triad,3,"W=FALSE,S=copyB,C=XNOR",0.0,0.0,4,3,0,0,1,1,(none)
202,triad,3,"W=FALSE,S=copyB,C=copyA",0.0,0.0,4,2,0,0,0,0,(none)
203,triad,3,"W=FALSE,S=copyB,C=A|~B",0.0,0.0,3,3,0,0,1,0,(none)
204,triad,3,"W=FALSE,S=copyB,C=copyB",0.0,0.0,2,2,0,0,1,0,(none)
