n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,idx,struct_fragility,dyn_fragility,syn_fragility,n_parity,n_affine,n_both_dep,mean_balance
5.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,0,132,0.6875,0.9375,1.0,1,3,2,0.375
6.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,2.0,0,133,0.875,0.75,1.0,0,2,2,0.25
7.0,4.0,1.0,3.0,0.0,1.0,1.0,8.0,0.0,1.0,1,134,0.8125,0.9375,1.0,0,1,3,0.375
5.0,2.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,1.0,0,135,0.875,0.75,1.0,0,2,2,0.5
7.0,4.0,1.0,3.0,0.0,1.0,2.0,7.0,0.0,2.0,0,136,0.8125,0.9375,1.0,0,1,3,0.375
6.0,3.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,4.0,0,137,0.875,0.75,1.0,0,2,2,0.25
6.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,138,0.625,0.8125,1.0,1,2,3,0.5
6.0,3.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,2.0,0,139,0.8125,0.875,1.0,0,1,3,0.625
7.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,3.0,0,140,0.625,0.75,1.0,1,2,3,0.25
7.0,4.0,1.0,2.0,0.0,1.0,0.0,10.0,0.0,4.0,1,141,0.625,1.0,1.0,1,2,3,0.25
7.0,3.0,0.0,3.0,0.0,1.0,3.0,6.0,0.0,2.0,0,142,0.8125,0.8125,1.0,0,1,3,0.375
7.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,1.0,1,143,0.625,1.0,1.0,1,2,3,0.25
5.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,0,144,0.9375,0.9375,1.0,0,3,1,0.125
5.0,4.0,1.0,1.0,0.0,1.0,2.0,12.0,0.0,1.0,1,145,0.9375,1.0,1.0,0,3,1,0.125
7.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,4.0,1,146,0.625,1.0,1.0,1,2,3,0.25
5.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,5.0,0,147,0.9375,0.75,1.0,0,3,1,0.125
5.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,4.0,0,148,0.875,0.9375,1.0,0,2,2,0.5
4.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0,149,0.75,0.875,1.0,1,4,1,0.25
6.0,4.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,4.0,0,150,0.875,0.875,1.0,0,2,2,0.25
6.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,1.0,0,151,0.8125,0.75,1.0,0,1,3,0.625
8.0,4.0,1.0,3.0,0.0,1.0,0.0,9.0,0.0,4.0,1,152,0.5625,0.9375,1.0,1,1,4,0.375
5.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,5.0,0,153,0.9375,0.6875,1.0,0,3,1,0.125
7.0,4.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,4.0,1,154,0.8125,0.875,1.0,0,1,3,0.375
3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0,155,1.0,0.625,1.0,0,4,0,0.25
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,156,0.875,0.875,1.0,0,2,2,0.5
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,157,0.875,0.875,1.0,0,2,2,0.5
5.0,2.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,4.0,0,158,0.875,1.0,1.0,0,2,2,0.5
8.0,4.0,1.0,3.0,0.0,1.0,3.0,8.0,0.0,2.0,0,159,0.5625,0.875,1.0,1,1,4,0.375
6.0,4.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,2.0,1,160,0.875,0.9375,1.0,0,2,2,0.25
8.0,4.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,4.0,1,161,0.5625,1.0,1.0,1,1,4,0.375
6.0,2.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,4.0,0,162,0.8125,0.625,1.0,0,1,3,0.625
5.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,163,0.6875,1.0,1.0,1,3,2,0.375
4.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,0,164,0.9375,0.8125,1.0,0,3,1,0.375
7.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,2.0,0,165,0.8125,0.9375,1.0,0,1,3,0.375
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,166,0.875,0.8125,1.0,0,2,2,0.5
6.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,1,167,0.5,1.0,1.0,2,4,2,0.0
5.0,3.0,0.0,2.0,0.0,1.0,2.0,6.0,0.0,2.0,0,168,0.875,0.8125,1.0,0,2,2,0.5
7.0,3.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,2.0,0,169,0.8125,0.875,1.0,0,1,3,0.375
4.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0,170,0.875,0.875,1.0,0,2,2,0.75
5.0,4.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,4.0,0,171,0.9375,1.0,1.0,0,3,1,0.125
5.0,3.0,0.0,2.0,0.0,1.0,2.0,8.0,0.0,2.0,0,172,0.875,0.875,1.0,0,2,2,0.5
7.0,3.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,1.0,0,173,0.8125,0.8125,1.0,0,1,3,0.375
8.0,4.0,1.0,3.0,0.0,1.0,2.0,9.0,0.0,6.0,1,174,0.5625,1.0,1.0,1,1,4,0.375
6.0,3.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,2.0,0,175,0.875,1.0,1.0,0,2,2,0.25
8.0,4.0,1.0,4.0,1.0,1.0,0.0,7.0,0.0,5.0,0,176,0.75,0.75,1.0,0,0,4,0.5
7.0,4.0,1.0,3.0,0.0,1.0,2.0,8.0,0.0,1.0,1,177,0.8125,0.9375,1.0,0,1,3,0.375
5.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,2.0,0,178,0.6875,1.0,1.0,1,3,2,0.375
8.0,4.0,1.0,3.0,0.0,1.0,0.0,8.0,0.0,4.0,0,179,0.5625,0.8125,1.0,1,1,4,0.375
6.0,2.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,1.0,0,180,0.8125,0.6875,1.0,0,1,3,0.625
6.0,4.0,1.0,2.0,0.0,1.0,0.0,10.0,0.0,5.0,1,181,0.875,1.0,1.0,0,2,2,0.25
7.0,4.0,1.0,3.0,0.0,1.0,2.0,6.0,0.0,2.0,0,182,0.8125,0.8125,1.0,0,1,3,0.375
7.0,3.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,2.0,0,183,0.625,0.9375,1.0,1,2,3,0.25
6.0,3.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,2.0,0,184,0.8125,0.625,1.0,0,1,3,0.625
6.0,2.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,1.0,0,185,0.8125,0.6875,1.0,0,1,3,0.625
7.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,2.0,0,186,0.625,0.75,1.0,1,2,3,0.25
6.0,4.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,4.0,1,187,0.6875,1.0,1.0,1,3,2,0.125
7.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,2.0,0,188,0.8125,0.9375,1.0,0,1,3,0.375
4.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0,189,0.6875,0.6875,1.0,1,3,2,0.625
8.0,4.0,1.0,4.0,1.0,1.0,1.0,8.0,0.0,2.0,1,190,0.75,0.8125,1.0,0,0,4,0.5
6.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,4.0,0,191,0.6875,0.75,1.0,1,3,2,0.125
8.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,3.0,1,192,0.375,0.9375,1.0,2,2,4,0.25
7.0,4.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,6.0,1,193,0.25,1.0,1.0,3,4,3,0.0
8.0,4.0,1.0,4.0,1.0,1.0,1.0,8.0,0.0,1.0,1,194,0.75,0.75,1.0,0,0,4,0.5
7.0,3.0,0.0,3.0,0.0,1.0,2.0,6.0,0.0,1.0,0,195,0.8125,0.9375,1.0,0,1,3,0.375
3.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0,196,0.9375,0.6875,1.0,0,3,1,0.625
7.0,4.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,1.0,1,197,0.8125,0.875,1.0,0,1,3,0.375
6.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,1.0,0,198,0.625,0.625,1.0,1,2,3,0.5
5.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,199,0.6875,0.875,1.0,1,3,2,0.375
7.0,4.0,1.0,3.0,0.0,1.0,2.0,8.0,0.0,2.0,0,200,0.8125,0.9375,1.0,0,1,3,0.375
