group,seed_idx,n_flip,flip_rate,any_flip,seed_triadic,seed_p
far_hit_control,1507,3,0.250000,1,1,1.000000
far_hit_control,1084,8,0.666667,1,0,0.000000
far_hit_control,3732,4,0.333333,1,1,1.000000
far_hit_control,4009,4,0.333333,1,0,0.000000
far_hit_control,620,1,0.083333,1,1,1.000000
far_hit_control,2916,5,0.416667,1,1,1.000000
far_hit_control,1253,4,0.333333,1,1,1.000000
far_hit_control,3592,3,0.250000,1,0,0.000000
far_hit_control,1088,3,0.250000,1,0,0.000000
far_hit_control,2457,0,0.000000,0,1,0.957500
far_hit_control,2437,1,0.083333,1,1,1.000000
far_hit_control,3244,0,0.000000,0,1,1.000000
far_hit_control,176,0,0.000000,0,0,0.000000
far_hit_control,59,4,0.333333,1,0,0.000000
far_hit_control,2890,4,0.333333,1,1,1.000000
far_hit_control,3106,4,0.333333,1,1,1.000000
far_hit_control,257,4,0.333333,1,0,0.000000
far_hit_control,2982,3,0.250000,1,1,1.000000
far_hit_control,2297,4,0.333333,1,0,0.000000
far_hit_control,571,4,0.333333,1,1,1.000000
far_hit_control,3251,3,0.250000,1,1,1.000000
far_hit_control,1810,8,0.666667,1,0,0.000000
far_hit_control,2593,4,0.333333,1,1,1.000000
far_hit_control,2567,4,0.333333,1,0,0.000000
far_hit_control,1679,4,0.333333,1,0,0.000000
far_hit_control,2637,5,0.416667,1,1,1.000000
far_hit_control,875,2,0.166667,1,1,1.000000
far_hit_control,3745,4,0.333333,1,1,1.000000
far_hit_control,3786,3,0.250000,1,1,1.000000
far_hit_control,2047,0,0.000000,0,0,0.000000
far_hit_control,868,3,0.250000,1,1,1.000000
far_hit_control,1293,3,0.250000,1,0,0.000000
far_hit_control,2833,4,0.333333,1,1,1.000000
far_hit_control,1729,2,0.166667,1,1,1.000000
far_hit_control,2773,3,0.250000,1,1,1.000000
far_hit_control,1582,3,0.250000,1,1,1.000000
far_hit_control,518,4,0.333333,1,0,0.000000
far_hit_control,1052,5,0.416667,1,1,1.000000
far_hit_control,3810,4,0.333333,1,1,1.000000
far_hit_control,1886,6,0.500000,1,1,1.000000
far_hit_control,1073,4,0.333333,1,1,1.000000
far_hit_control,2390,0,0.000000,0,1,1.000000
far_hit_control,2102,2,0.166667,1,1,1.000000
far_hit_control,3456,3,0.250000,1,0,0.000000
far_hit_control,1527,3,0.250000,1,0,0.000000
far_hit_control,794,8,0.666667,1,0,0.000000
far_hit_control,2997,3,0.250000,1,1,1.000000
far_hit_control,3925,2,0.166667,1,0,0.000000
far_hit_control,1266,3,0.250000,1,0,0.000000
far_hit_control,113,1,0.083333,1,0,0.000000
far_hit_control,1751,3,0.250000,1,1,1.000000
far_hit_control,3884,4,0.333333,1,0,0.000000
far_hit_control,1259,4,0.333333,1,1,1.000000
far_hit_control,1388,2,0.166667,1,1,1.000000
far_hit_control,2138,7,0.583333,1,0,0.000000
far_hit_control,1308,7,0.583333,1,0,0.000000
far_hit_control,2977,3,0.250000,1,1,1.000000
far_hit_control,1622,0,0.000000,0,1,1.000000
far_hit_control,3326,2,0.166667,1,0,0.000000
far_hit_control,1283,2,0.166667,1,0,0.000000
far_hit_control,978,3,0.250000,1,1,1.000000
far_hit_control,676,4,0.333333,1,1,1.000000
far_hit_control,951,4,0.333333,1,1,1.000000
far_hit_control,3569,2,0.166667,1,0,0.000000
far_hit_control,2147,2,0.166667,1,1,1.000000
far_hit_control,3795,4,0.333333,1,1,1.000000
far_hit_control,820,7,0.583333,1,0,0.000000
far_hit_control,1090,4,0.333333,1,1,1.000000
far_hit_control,3508,3,0.250000,1,1,1.000000
far_hit_control,3841,0,0.000000,0,0,0.000000
far_hit_control,2413,1,0.083333,1,1,1.000000
far_hit_control,2045,3,0.250000,1,0,0.000000
far_hit_control,2454,0,0.000000,0,1,0.995000
far_hit_control,705,5,0.416667,1,1,1.000000
far_hit_control,2742,3,0.250000,1,1,1.000000
far_hit_control,3737,1,0.083333,1,1,1.000000
far_hit_control,3206,1,0.083333,1,1,1.000000
far_hit_control,1883,4,0.333333,1,1,1.000000
far_hit_control,1180,2,0.166667,1,1,1.000000
far_hit_control,2066,8,0.666667,1,0,0.000000
far_hit_control,3199,3,0.250000,1,0,0.000000
far_hit_control,2219,4,0.333333,1,1,1.000000
far_hit_control,929,3,0.250000,1,1,1.000000
far_hit_control,342,3,0.250000,1,1,1.000000
far_hit_control,1172,4,0.333333,1,1,1.000000
far_hit_control,1373,6,0.500000,1,0,0.000000
far_hit_control,2629,3,0.250000,1,1,1.000000
far_hit_control,2504,3,0.250000,1,1,1.000000
far_hit_control,2588,3,0.250000,1,1,1.000000
far_hit_control,3254,2,0.166667,1,1,1.000000
far_hit_control,1368,6,0.500000,1,0,0.000000
far_hit_control,1746,2,0.166667,1,1,1.000000
far_hit_control,3920,0,0.000000,0,0,0.000000
far_hit_control,4035,0,0.000000,0,0,0.000000
far_hit_control,3458,4,0.333333,1,1,1.000000
far_hit_control,3237,6,0.500000,1,0,0.000000
far_hit_control,1081,1,0.083333,1,1,1.000000
far_hit_control,449,4,0.333333,1,1,1.000000
far_hit_control,3879,4,0.333333,1,0,0.000000
far_hit_control,3965,4,0.333333,1,0,0.000000
far_hit_control,2094,8,0.666667,1,0,0.000000
far_hit_control,1203,4,0.333333,1,1,1.000000
far_hit_control,663,2,0.166667,1,1,1.000000
far_hit_control,129,2,0.166667,1,0,0.000000
far_hit_control,2143,4,0.333333,1,0,0.000000
far_hit_control,241,0,0.000000,0,0,0.000000
far_hit_control,655,1,0.083333,1,0,0.000000
far_hit_control,3686,1,0.083333,1,1,1.000000
far_hit_control,413,3,0.250000,1,1,1.000000
far_hit_control,3977,4,0.333333,1,0,0.000000
far_hit_control,3292,3,0.250000,1,1,1.000000
far_hit_control,3628,4,0.333333,1,1,1.000000
far_hit_control,2664,1,0.083333,1,1,1.000000
far_hit_control,201,4,0.333333,1,0,0.000000
far_hit_control,1740,8,0.666667,1,0,0.000000
far_hit_control,2793,3,0.250000,1,1,1.000000
far_hit_control,182,4,0.333333,1,0,0.000000
