idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
410,6,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
411,7,4,1,2.0,0.0,1.0,2,12,0,2,1,0.830075
412,5,4,0,1.0,0.0,1.0,3,12,0,2,0,0.000000
413,8,4,1,3.0,0.0,1.0,2,10,0,4,1,0.830075
414,6,4,1,1.0,0.0,1.0,1,12,0,5,1,2.000000
415,5,4,1,0.0,0.0,0.0,1,8,0,1,1,0.500000
416,5,3,0,0.0,0.0,0.0,1,8,0,7,0,0.000000
417,6,3,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
418,6,3,0,2.0,0.0,1.0,1,7,0,3,0,0.000000
419,7,4,1,3.0,0.0,1.0,0,9,0,5,1,0.830075
420,8,4,1,3.0,0.0,1.0,1,10,0,2,1,0.830075
421,5,3,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
422,8,4,1,2.0,0.0,1.0,0,12,0,3,1,0.830075
423,6,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
424,6,4,1,1.0,0.0,1.0,1,12,0,4,1,1.000000
425,5,2,0,2.0,0.0,1.0,2,5,0,2,0,0.000000
426,6,3,0,2.0,0.0,1.0,0,7,0,5,0,0.000000
427,6,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
428,6,3,0,0.0,0.0,0.0,1,8,0,7,0,0.000000
429,6,3,0,1.0,0.0,1.0,2,8,0,1,0,0.000000
430,7,4,1,2.0,0.0,1.0,0,8,0,5,1,0.415037
431,8,4,1,4.0,1.0,1.0,0,8,0,5,0,0.000000
432,6,3,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
433,6,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
434,5,2,0,2.0,0.0,1.0,0,5,0,4,0,0.000000
435,5,4,1,1.0,0.0,1.0,0,12,0,6,1,2.000000
436,7,4,1,2.0,0.0,1.0,1,9,0,2,1,0.415037
437,6,4,1,2.0,0.0,1.0,1,10,0,1,1,0.415037
438,8,4,1,4.0,1.0,1.0,1,9,0,2,1,0.830075
439,5,2,0,1.0,0.0,1.0,0,6,0,4,0,0.000000
440,8,3,0,3.0,0.0,1.0,1,7,0,2,0,0.000000
441,5,3,0,1.0,0.0,1.0,2,8,0,3,0,0.000000
442,7,4,1,3.0,0.0,1.0,1,7,0,1,0,0.000000
443,7,4,1,2.0,0.0,1.0,1,9,0,1,1,0.415037
444,6,4,1,2.0,0.0,1.0,0,9,0,6,1,0.830075
445,7,4,1,3.0,0.0,1.0,0,9,0,5,1,0.415037
446,6,3,0,2.0,0.0,1.0,2,6,0,1,0,0.000000
447,5,4,0,1.0,0.0,1.0,0,12,0,4,0,0.000000
448,4,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
449,5,3,0,2.0,0.0,1.0,0,8,0,6,0,0.000000
450,4,1,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
451,6,3,0,2.0,0.0,1.0,2,7,0,1,0,0.000000
452,6,4,1,2.0,0.0,1.0,1,6,0,2,0,0.000000
453,5,2,0,2.0,0.0,1.0,0,5,0,4,0,0.000000
454,4,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
455,6,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
456,4,3,0,0.0,0.0,0.0,2,8,0,2,0,0.000000
457,6,4,1,2.0,0.0,1.0,2,10,0,1,1,2.000000
458,7,4,1,3.0,0.0,1.0,0,8,0,3,1,0.830075
459,6,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
460,4,2,0,2.0,0.0,1.0,1,4,0,1,0,0.000000
461,5,2,0,2.0,0.0,1.0,2,4,0,2,0,0.000000
462,6,4,1,2.0,0.0,1.0,0,10,0,3,1,0.830075
463,6,2,0,3.0,0.0,1.0,1,4,0,1,0,0.000000
464,7,4,1,2.0,0.0,1.0,1,12,0,4,1,0.830075
465,5,3,0,1.0,0.0,1.0,2,6,0,2,0,0.000000
466,8,3,0,4.0,1.0,1.0,0,6,0,3,0,0.000000
467,7,4,1,1.0,0.0,1.0,0,8,0,5,1,0.500000
468,6,2,0,2.0,0.0,1.0,2,4,0,2,0,0.000000
469,4,2,0,0.0,0.0,0.0,1,8,0,1,0,0.000000
