idx,structure,max_phi,s_reads_all_three,n_states
697,dyadic,0.000000,True,4
698,dyadic,0.000000,True,4
699,dyadic,0.000000,True,4
700,dyadic,0.000000,True,4
701,dyadic,0.000000,True,4
702,dyadic,0.000000,True,4
703,dyadic,0.000000,False,4
704,dyadic,0.000000,False,2
705,dyadic,0.000000,True,4
706,dyadic,0.000000,True,4
707,dyadic,0.000000,True,4
708,dyadic,0.000000,True,4
709,dyadic,0.000000,True,4
710,dyadic,0.000000,True,4
711,dyadic,0.000000,True,4
712,dyadic,0.000000,True,4
713,dyadic,0.000000,True,4
714,dyadic,0.000000,True,4
715,dyadic,0.000000,False,2
716,dyadic,0.000000,True,4
717,dyadic,0.000000,True,4
718,dyadic,0.000000,True,4
719,dyadic,0.000000,True,4
720,dyadic,0.000000,True,4
721,dyadic,0.000000,True,4
722,dyadic,0.000000,True,4
723,dyadic,0.000000,True,4
724,dyadic,0.000000,True,4
725,dyadic,0.000000,True,2
726,triadic,0.500000,True,4
727,dyadic,0.000000,True,4
728,dyadic,0.000000,True,4
729,dyadic,0.000000,True,4
730,dyadic,0.000000,True,4
731,dyadic,0.000000,True,4
732,dyadic,0.000000,True,2
733,dyadic,0.000000,False,4
734,dyadic,0.000000,True,4
735,dyadic,0.000000,True,2
736,dyadic,0.000000,True,4
737,dyadic,0.000000,True,4
738,dyadic,0.000000,True,4
739,dyadic,0.000000,True,4
740,dyadic,0.000000,True,4
741,dyadic,0.000000,True,4
742,dyadic,0.000000,True,4
743,dyadic,0.000000,True,4
744,dyadic,0.000000,True,2
745,dyadic,0.000000,True,4
746,dyadic,0.000000,True,4
747,dyadic,0.000000,True,4
748,dyadic,0.000000,True,2
749,dyadic,0.000000,False,4
750,dyadic,0.000000,True,4
751,dyadic,0.000000,True,4
752,dyadic,0.000000,True,4
753,dyadic,0.000000,True,4
754,dyadic,0.000000,True,4
755,dyadic,0.000000,True,4
756,dyadic,0.000000,True,4
757,dyadic,0.000000,True,4
758,dyadic,0.000000,True,2
759,dyadic,0.000000,True,4
760,dyadic,0.000000,True,4
761,dyadic,0.000000,True,4
762,dyadic,0.000000,True,4
763,dyadic,0.000000,False,4
764,dyadic,0.000000,False,2
765,dyadic,0.000000,False,4
766,dyadic,0.000000,False,4
767,dyadic,0.000000,False,4
768,dyadic,0.000000,True,4
769,dyadic,0.000000,False,4
770,dyadic,0.000000,True,4
771,dyadic,0.000000,True,4
772,dyadic,0.000000,True,4
773,dyadic,0.000000,True,4
774,dyadic,0.000000,True,4
775,dyadic,0.000000,True,2
776,dyadic,0.000000,False,4
777,dyadic,0.000000,True,4
778,dyadic,0.000000,True,2
779,dyadic,0.000000,True,4
780,dyadic,0.000000,True,4
781,dyadic,0.000000,True,4
782,dyadic,0.000000,True,4
783,dyadic,0.000000,True,4
784,dyadic,0.000000,True,4
785,dyadic,0.000000,True,4
786,dyadic,0.000000,False,4
787,dyadic,0.000000,True,4
788,dyadic,0.000000,True,4
789,dyadic,0.000000,True,4
790,dyadic,0.000000,True,2
791,dyadic,0.000000,True,4
792,triadic,0.500000,True,4
793,dyadic,0.000000,True,4
794,dyadic,0.000000,True,4
795,dyadic,0.000000,True,4
796,dyadic,0.000000,True,4
797,dyadic,0.000000,True,2
798,dyadic,0.000000,False,4
799,dyadic,0.000000,False,4
800,dyadic,0.000000,True,4
801,dyadic,0.000000,True,4
802,dyadic,0.000000,True,4
803,dyadic,0.000000,True,4
804,dyadic,0.000000,True,4
805,dyadic,0.000000,True,4
806,dyadic,0.000000,False,4
807,dyadic,0.000000,True,4
808,dyadic,0.000000,True,4
809,dyadic,0.000000,False,4
810,dyadic,0.000000,True,4
811,dyadic,0.000000,True,4
812,dyadic,0.000000,True,4
813,dyadic,0.000000,True,4
814,dyadic,0.000000,True,2
815,dyadic,0.000000,True,4
816,dyadic,0.000000,True,4
817,dyadic,0.000000,True,4
818,dyadic,0.000000,False,4
819,dyadic,0.000000,True,4
820,dyadic,0.000000,True,4
821,dyadic,0.000000,True,4
822,dyadic,0.000000,True,4
823,dyadic,0.000000,False,4
824,dyadic,0.000000,True,4
825,dyadic,0.000000,True,4
826,dyadic,0.000000,True,4
827,dyadic,0.000000,True,2
828,dyadic,0.000000,True,4
829,dyadic,0.000000,True,4
830,dyadic,0.000000,True,4
831,dyadic,0.000000,True,4
832,dyadic,0.000000,True,4
833,dyadic,0.000000,True,4
834,dyadic,0.000000,True,4
835,dyadic,0.000000,True,4
836,dyadic,0.000000,True,4
837,dyadic,0.000000,True,2
838,dyadic,0.000000,True,4
839,dyadic,0.000000,True,4
840,dyadic,0.000000,True,4
841,dyadic,0.000000,True,4
842,dyadic,0.000000,True,4
843,dyadic,0.000000,True,4
844,dyadic,0.000000,True,2
845,dyadic,0.000000,False,4
846,dyadic,0.000000,True,4
847,dyadic,0.000000,True,4
848,dyadic,0.000000,True,4
849,dyadic,0.000000,True,4
850,dyadic,0.000000,True,4
851,dyadic,0.000000,True,2
852,dyadic,0.000000,True,4
853,dyadic,0.000000,True,4
854,dyadic,0.000000,True,4
855,dyadic,0.000000,False,2
856,dyadic,0.000000,True,4
857,dyadic,0.000000,True,4
858,dyadic,0.000000,True,4
859,dyadic,0.000000,True,4
860,triadic,3.000000,True,4
861,dyadic,0.000000,True,2
862,dyadic,0.000000,True,4
863,dyadic,0.000000,True,4
864,dyadic,0.000000,False,2
865,dyadic,0.000000,True,4
866,dyadic,0.000000,True,4
867,dyadic,0.000000,True,4
