idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,tdmi,phi_wms,stochastic_interaction,causal_density,integrated_synergy,total_correlation
155,4,0.3,0.05,6,copy|copy|parity|parity,0.0,0.0,16,2.3073547197234587,-0.155448429689087,1.7131404163870154,0.11893384048067401,-0.4524489231484121,0.5470574518127167
156,4,0.3,0.05,5,copy|copy|majority|parity,0.0,0.0,16,1.6440035984412162,-0.3595185517621682,1.2725058302194325,0.15095264355477137,-0.6335780281937369,1.2104085730949583
157,4,0.3,0.05,5,parity|copy|copy|or,0.0,0.0,16,1.9695008919935475,-0.4399714791212195,2.854412171536175,0.35392300674930627,-0.8195366882080757,0.8849112795426275
158,4,0.3,0.05,5,copy|majority|parity|or,0.0,0.0,16,1.6440035984412162,-0.3595185517621682,1.2725058302194316,0.15095264355477137,-0.6335780281937369,1.2104085730949583
159,4,0.3,0.05,5,or|copy|majority|copy,0.0,0.0,16,2.3073547197234587,4.440892098500626e-16,2.1408091286521307,0.21403982007643726,-0.4276687122651151,0.5470574518127167
160,4,0.3,0.05,5,and|and|majority|and,0.0,0.0,16,1.6480812882644866,-0.032830429393039706,1.421403567358953,0.14347724876599696,-0.31964692799890715,0.5352603383882313
161,4,0.3,0.05,6,and|or|or|majority,0.0,0.0,16,1.6759299404088672,-0.031676693741257145,2.2829587846220374,0.2520299115648579,-0.6253234397416645,0.9265887220195408
162,4,0.3,0.05,6,or|and|majority|or,0.0,0.0,16,1.8133997616415645,0.04396901500314393,1.641788838412784,0.14176437119784477,-0.21466010011283845,0.2970054665230215
163,4,0.3,0.05,5,copy|parity|parity|and,0.0,0.0,16,2.3073547197234587,0.16654559107132716,2.8544121715361745,0.2735067403167742,-0.4276687122651155,0.5470574518127163
164,4,0.3,0.05,5,and|and|or|parity,0.0,0.0,16,0.6302275228148214,0.09739806275799873,0.7380356579446015,0.07059749622461786,-0.09086031626953162,0.14259131027681304
165,4,0.3,0.2,6,majority|and|copy|or,0.0,0.0,16,0.9376949059869137,0.06741154807071081,0.6610214378561463,0.05236101250029324,-0.0648195538569985,0.17459271446363722
166,4,0.3,0.2,5,and|parity|majority|parity,0.0,0.0,16,0.9987421597418142,0.25577886779922027,0.7959276940529514,0.06983519080217011,-0.06931883194315747,0.11354546070873628
167,4,0.3,0.2,6,copy|copy|parity|or,0.10210965159343251,0.20421930318686501,16,1.0166690781750447,0.46052526794976933,1.1122876204505503,0.0751716266789552,-1.1102230246251565e-16,0.0956185422755067
168,4,0.3,0.2,7,parity|majority|majority|majority,0.026218094578171012,0.2777382523341365,16,0.4832401896570481,0.2263666096651616,0.49523576962880744,0.03136166946495659,0.028862265358816003,0.012725867878846664
169,4,0.3,0.2,8,parity|or|copy|and,3.254692207896854e-17,1.3443888278305227e-16,16,0.8552216107218096,0.1842597299078771,0.8884530199660072,0.07225447223927471,-0.0028118323657386757,0.06708820329350473
170,4,0.3,0.2,7,majority|majority|or|parity,0.0,0.0,16,0.8719151567919075,0.3381072370537929,0.7663719105283637,0.05191195221466944,-0.010011575354205215,0.24037246365864418
171,4,0.3,0.2,7,majority|majority|majority|and,0.0,0.0,16,0.4179917205450653,0.15778588681267755,0.42616606045540273,0.030362636830371895,-0.0038441577691834105,0.029281664553786335
172,4,0.3,0.2,6,or|and|and|or,0.0,0.0,16,0.9077905063588699,0.251541705983927,1.011412595506663,0.0810115780914942,-0.03000306706192235,0.12093855200943349
173,4,0.3,0.2,10,or|copy|parity|parity,0.03471728154176711,0.555476504668273,16,0.8033246648082029,0.22337585592323284,0.7962380566527911,0.04861417245433038,0.019255510159042366,0.003667682259797189
