idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
26,3,0.3,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,-2.220446049250313e-16,0.0,0.0,0.0,parity|and|copy,2.220446049250313e-16,1.427206085768088,0.0,0.23786768096134794,0.0,2.1408091286521316
27,3,0.3,0.05,1,1.161270091520276,0.9795390371318555,3.859190871347869,1.8387299084797242,0.8591908713478686,-0.430795789504423,0.0,0.0,0.0,parity|or|majority,0.04068579295597646,0.3631843352545011,0.08026010478820123,0.06226854645867169,-0.059082557021101545,0.9795390371327052
28,3,0.3,0.05,1,0.9505304314347923,1.1902786972173396,3.859190871347869,2.049469568565208,0.8591908713478685,-0.14945802669676167,0.0,0.0,0.0,copy|majority|and,-0.26989883719514296,0.3733605693096542,0.5981180826621086,0.06995061932276654,-0.4993307530644979,1.1902786972175625
29,3,0.3,0.05,1,0.9292475566673923,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478689,0.3821901048546752,0.0,0.0,0.0,copy|copy|parity,-0.3339383779807613,0.7308741310403372,0.9292475566673923,0.15780626002787246,-0.5730814362691491,1.2115615719847388
30,3,0.3,0.2,1,0.11681919390621909,0.7173965214316946,5.165784284662087,2.8831808060937814,2.1657842846620867,-0.039008666228358635,0.0,0.0,0.0,and|parity|or,2.7755575615628914e-16,0.08374167716292824,0.016110795047368676,0.01395694619382129,1.6653345369377348e-16,0.7173965214317033
31,3,0.3,0.2,1,0.03392190240477433,0.8002938129331385,5.165784284662087,2.9660780975952257,2.165784284662087,0.03392190240477455,0.0,0.0,0.0,parity|parity|parity,0.2441500027078631,0.8342157153379128,0.03392190240477433,0.14511096004944937,-0.014053302130324784,0.8002938129331384
32,3,0.3,0.2,1,0.27122833108568134,0.5629873842522315,5.165784284662087,2.7287716689143187,2.165784284662087,-0.07450335726973767,0.0,0.0,0.0,and|majority|or,0.06412986335132276,0.3797004908956576,0.032735260161603996,0.06384857249124522,0.012254287358024307,0.5629873842522554
33,3,0.3,0.2,1,0.19021857161776623,0.6439971437201466,5.165784284662087,2.8097814283822338,2.165784284662087,0.0603903670707564,0.0,0.0,0.0,parity|parity|and,0.1667427356960042,0.47873517518104025,0.16346097905267998,0.0805527516011507,-0.06422637260855246,0.6439971437201473
34,3,0.3,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,-2.220446049250313e-16,0.0,0.0,0.0,copy|or|or,6.661338147750939e-16,0.5561438102252749,0.0,0.09269063503754589,3.3306690738754696e-16,0.8342157153379128
35,3,0.3,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,-4.440892098500626e-16,0.0,0.0,0.0,majority|parity|copy,1.6653345369377348e-16,0.24415000270786358,0.09561854227550626,0.040691667117977254,-0.05036075937776596,0.7385971730624069
