net_idx,n,density,noise,n_edges,state,phi,n_distinctions,sum_phi_distinctions,n_relations,sum_phi_relations,mean_order,frac_higher_order,max_order
6,3,0.3,0.05,3,110,0.0,2,1.7593988952568236,2,1.3195491714426177,1.0,0.0,1
7,3,0.3,0.05,4,001,0.0,2,1.2501486400286246,0,0.0,1.0,0.0,1
7,3,0.3,0.05,4,011,0.0,3,1.5056308416839437,2,0.44070679785542544,1.0,0.0,1
7,3,0.3,0.05,4,000,1.5878575029692834,3,2.190647133381856,4,1.3109476857534443,1.0,0.0,1
7,3,0.3,0.05,4,010,0.3199333934365473,3,1.5664298874087637,1,0.21562411906251627,1.0,0.0,1
7,3,0.3,0.05,4,111,0.0,3,1.5056308416839437,4,1.0657811178697376,1.0,0.0,1
7,3,0.3,0.05,4,110,0.0,2,1.135181649283731,2,0.5675908246418655,1.0,0.0,1
8,3,0.3,0.05,3,110,0.0,2,1.7593988952568236,1,0.4398497238142059,1.0,0.0,1
8,3,0.3,0.05,3,100,0.0,2,1.7593988952568236,1,0.4398497238142059,1.0,0.0,1
8,3,0.3,0.05,3,111,0.0,2,1.7593988952568236,2,0.8796994476284118,1.0,0.0,1
8,3,0.3,0.05,3,000,0.0,2,1.7593988952568236,2,0.8796994476284118,1.0,0.0,1
8,3,0.3,0.05,3,101,0.0,2,1.7593988952568236,2,0.8796994476284118,1.0,0.0,1
8,3,0.3,0.05,3,011,0.0,2,1.7593988952568236,1,0.4398497238142059,1.0,0.0,1
9,3,0.3,0.05,3,100,0.0,1,0.8796994476284118,1,0.2932331492094706,1.0,0.0,1
9,3,0.3,0.05,3,001,0.0,1,0.8796994476284118,1,0.2932331492094706,1.0,0.0,1
9,3,0.3,0.05,3,110,0.0,1,0.8796994476284118,1,0.2932331492094706,1.0,0.0,1
9,3,0.3,0.05,3,101,0.0,1,0.8796994476284118,1,0.2932331492094706,1.0,0.0,1
9,3,0.3,0.05,3,011,0.0,1,0.8796994476284118,1,0.2932331492094706,1.0,0.0,1
9,3,0.3,0.05,3,000,0.0,1,0.8796994476284118,1,0.2932331492094706,1.0,0.0,1
10,3,0.3,0.05,4,100,0.0,2,0.625931394055532,3,0.5407706601704256,1.0,0.0,1
10,3,0.3,0.05,4,110,0.0,2,0.6867304397803518,2,0.5164089720101389,1.0,0.0,1
10,3,0.3,0.05,4,111,0.0,3,2.8509520204522056,7,3.552503519860312,1.3333333333333333,0.3333333333333333,2
