idx,gates,phi_mean,phi_max,n_states_evaluated,n,density,noise,n_edges,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy
652,or|or|parity|or,0.09427903923880128,1.5084646278208191,16,4,0.8,0.05,13,0.00044464601893667854,0.39255550440442555,0.40025112639016613,0.35796582333257726,0.7272858557833154,0.2931375786026121,0.02362092582560982,0.16680982171137437
653,majority|copy|copy|copy,2.4990335189877662e-18,3.998453630380426e-17,16,4,0.8,0.05,13,0.49732525217934587,0.7761548364463036,0.40025112639016613,0.47510134145852984,0.48379456942326027,-0.009878960080805133,0.0780356112126733,-0.12066163739156505
654,majority|and|copy|or,0.0,0.0,16,4,0.8,0.05,13,0.07089782636137398,0.42794820839216596,0.3947682342478351,0.043449876051036285,0.9404389634649036,0.034857351343101195,0.03652076548957852,-0.05039307545916938
655,and|majority|majority|or,0.01985086727088327,0.3176138763341323,16,4,0.8,0.05,11,1.1585621094353393,1.0057271806990924,0.3892853421055041,0.5287068535095741,1.1276700521937602,-0.28985247512005585,0.12408001694206101,-0.5003432181717491
656,and|parity|copy|copy,4.73606324787611e-18,7.577701196601776e-17,16,4,0.8,0.05,13,0.14516500525709208,0.8069987745277245,0.38380244996317303,0.2965918247844466,1.038702674638802,0.0735915019565498,0.06292339580987254,-0.031029003385318936
657,and|parity|parity|or,2.4475908311185206e-17,2.603353363704563e-16,16,4,0.8,0.05,15,0.04578353630724319,1.5237203524874818,0.4715287242404697,0.0801982253134927,1.6172232102568285,0.5764542645087167,0.06262332869166738,0.1494575503129194
658,copy|majority|copy|or,8.725583207461483e-17,8.673277259078877e-16,16,4,0.8,0.05,11,1.6010873196510405,1.0118419301566994,0.42218269495949035,0.7232290843680759,1.2436563371928135,-0.3814321889583375,0.12530318569095905,-0.6578153503667068
659,or|parity|majority|or,0.0,0.0,16,4,0.8,0.05,11,0.013149420936096945,0.5615877452688582,0.42766558710182134,0.10764211539650287,1.4989048285041042,0.08999516733229174,0.03663074737630823,0.03809947509646183
660,copy|and|or|majority,1.2989242634357604e-16,1.1590125513245738e-15,16,4,0.8,0.05,16,0.20118711177901627,0.3138881440348844,0.4166998028171593,0.11174489593772728,1.47661498407457,-1.598338695152357e-05,0.02533035122253009,-0.12116543298955385
661,parity|majority|parity|or,0.0,0.0,16,4,0.8,0.05,11,0.2746003015770291,1.9856835409058684,0.4824945085251318,0.14868272614400366,2.2247796281441707,0.5744284343665691,0.10078730796770148,0.11854090682669094
662,majority|and|or|and,0.0,0.0,16,4,0.8,0.05,14,0.006399972743761584,0.42600257189260216,0.41121691067482824,0.20780514065029498,0.42449374547113666,0.29101708031198037,0.031628076836596346,0.0005614748966668581
663,copy|parity|or|copy,2.779896557397081e-17,2.223917245917665e-16,16,4,0.8,0.05,13,0.581394506892654,0.6413577511624804,0.43863137138648345,0.1873897913205509,1.735664379452621,-0.1576131723293459,0.030754396988646047,-0.4575326995299971
664,majority|parity|copy|and,0.009256778160091458,0.14810845056146332,16,4,0.8,0.05,14,0.08733547464375846,0.9959465002103436,0.4824945085251318,0.09197969183357922,1.305236880869455,0.219460418918519,0.05479915953199244,0.033875316557412494
665,majority|parity|and|or,0.0,0.0,16,4,0.8,0.05,9,0.09881413701234809,0.9328618431791651,0.4057340185324972,0.15341339726313277,1.3212886123698053,0.17820988425768225,0.05727650075729652,0.0160038887116547
666,and|copy|or|majority,0.0,0.0,16,4,0.8,0.05,11,1.0255873998453637,0.8055275648325955,0.4715287242404697,0.48265092838461343,1.3766367493918428,-0.25725094759750344,0.08090111829603656,-0.5293468091294452
667,majority|or|parity|or,0.0471395196194006,0.7542323139104096,16,4,0.8,0.05,12,0.033376997847004874,0.5326310579263973,0.44959715567114555,0.11424884069956338,0.5336250540332071,0.3585778051989726,0.029521283247028032,0.021539074002856817
668,and|copy|majority|majority,7.243078530981723e-18,7.151510997808396e-17,16,4,0.8,0.05,14,0.09847383315514247,0.15790508968237127,0.3947682342478351,0.3026026061145756,0.9026653110877415,-0.0008746600798815451,0.016637699526174523,-0.060007626170833106
669,and|copy|majority|or,1.3504693812538298e-17,1.4379779050828871e-16,16,4,0.8,0.05,13,0.43205889674398934,0.9566907048694953,0.42218269495949035,0.4029890518735013,1.2570642108482488,0.23289732215224657,0.08295310389139572,-0.2845442716085075
670,majority|or|and|parity,0.0,0.0,16,4,0.8,0.05,15,0.1321458836362024,0.9417909521362624,0.42218269495949035,0.05445474213945342,1.4342353152994787,0.24315296769214512,0.04899870826321071,0.14144956688140153
671,copy|and|copy|and,3.784640629871479e-16,3.3682630132345154e-15,16,4,0.8,0.05,12,0.6328819650454656,0.42347074897844417,0.3892853421055041,0.2895031752074357,1.2366349085384618,-0.26291292824738954,0.0407034940399365,-0.5068865216895169
672,and|copy|copy|copy,0.0,0.0,16,4,0.8,0.05,11,1.399261263529846,1.138110748704367,0.4331484792441524,0.670160292015299,1.445595691476755,-0.3649207058414541,0.13944189021684975,-0.6501095718109479
673,and|copy|and|or,1.1631459939704063e-17,1.3701859808971384e-16,16,4,0.8,0.05,13,0.005926302260669036,0.25476835579801516,0.38380244996317303,0.0545698589692404,0.720960718176497,0.0427357645936679,0.020591117169910907,-0.0030272620162543618
674,and|and|majority|and,0.0942790392388012,1.5084646278208191,16,4,0.8,0.05,13,0.0001812741626041614,0.004588834732582203,0.30155906782820735,0.030379255804229427,0.004493526156450371,0.003210586888817306,0.00015022605035521175,0.0013473977658818707
675,parity|majority|and|parity,0.06880937997274125,0.3176138763341323,16,4,0.8,0.05,13,0.04212738477146871,1.5597727726467472,0.4057340185324972,0.111812799910795,1.6047105647608553,0.4853289781289932,0.07376321011026907,0.1626482120801458
676,copy|copy|majority|and,2.2552499741083777e-16,2.7643911582721526e-15,16,4,0.8,0.05,15,0.7854347055973094,0.5114287263170669,0.38380244996317303,0.3272501479221199,1.4126082481486426,-0.27647402279520716,0.048468060026113556,-0.5244414590342966
677,copy|copy|parity|and,2.0135336512871236e-16,2.7643911582721526e-15,16,4,0.8,0.05,14,0.5540368904285136,0.7118788548972632,0.4879774006674628,0.18699736372416817,1.633298899215147,-0.15593151124135995,0.03537258070993297,-0.4533617880425316
678,and|copy|or|parity,0.0,0.0,16,4,0.8,0.05,13,0.060892273753940795,0.8387392687262767,0.45508004781347655,0.08584737848280795,1.7216066113743085,0.04411564341038088,0.045078188409773894,-0.004085560082862871
