idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_mean,phi_max,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
98,3,0.8,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,0.1660149997115375,0.41503749927884376,-0.5435644431995963,2.5849394142282115e-26,0.5694152051396562,0.0,-0.5435644431995963,1.061278124459133
99,3,0.8,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,0.0,0.0,-0.5435644431995963,2.5849394142282115e-26,0.5694152051396562,0.0,-0.5435644431995963,1.061278124459133
100,3,0.8,0.0,0,1.188721875540867,1.811278124459133,3.0,1.811278124459133,0.0,0.08300749985576875,0.41503749927884376,-0.9544340029249649,1.8112781243765224,0.9544340029249647,0.49448619778144987,-0.9544340029249649,1.8112781244591325
101,3,0.8,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,0.1660149997115375,0.41503749927884376,-0.5435644431995963,2.5849394142282115e-26,0.5694152051396562,0.0,-0.5435644431995963,1.061278124459133
102,3,0.8,0.0,0,1.5943609377704335,1.4056390622295665,3.0,1.4056390622295665,0.0,0.0,0.0,-1.0,0.0,1.13792538097003,0.0,-1.0,1.4056390622295662
103,3,0.8,0.0,0,1.188721875540867,1.811278124459133,3.0,1.811278124459133,0.0,0.0,0.0,-0.9544340029249649,0.0,0.9544340029249647,0.0,-0.9544340029249648,1.8112781244591327
104,3,0.8,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.4830074998557688,2.0,-0.5435644431995963,2.5849394142282115e-26,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
105,3,0.8,0.05,1,1.589580858192237,0.5512282704598952,3.859190871347869,1.4104191418077636,0.8591908713478684,0.0,0.0,-0.045085057094916836,0.2900544879704381,0.3079646393125146,0.054162440570011676,-0.20746733583423277,0.5512282704623513
106,3,0.8,0.05,1,1.4239525278371739,0.7168566008149573,3.859190871347869,1.5760474721628261,0.8591908713478689,0.19848218787116043,1.5878575029692834,0.21443038222819916,0.7974193608497835,0.18780957889352567,0.11026417651421659,0.02103868760991645,0.7168566008161024
107,3,0.8,0.05,1,1.8808913103891336,0.2599178182629983,3.859190871347869,1.1191086896108668,0.8591908713478685,0.04179129951764899,0.3343303961411919,0.05156271153949188,0.24519201264443924,0.01194739796689559,0.040045830908005335,0.003626105916090999,0.25991781826455085
108,3,0.8,0.05,1,1.302127516459947,0.8386816121921843,3.859190871347869,1.697872483540053,0.8591908713478686,0.6579520039927969,1.315904007985594,0.4088423442380486,1.1269771316085027,0.4452531218932425,0.09613433714103659,0.0097460319476812,0.8386816121921845
109,3,0.8,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,0.0,0.0,2.220446049250313e-16,0.7136030428840445,0.0,0.1189338404806739,2.220446049250313e-16,2.1408091286521316
110,3,0.8,0.05,1,1.1630020876506502,0.9778070410014814,3.859190871347869,1.83699791234935,0.8591908713478686,0.0,0.0,0.14938709158614893,0.6325825887570101,0.35684870587093376,0.10951088732811809,-0.23876104576075047,0.977807041003064
111,3,0.8,0.05,1,1.4176025087322284,0.7232066199199035,3.859190871347869,1.582397491267772,0.8591908713478685,0.1984821878711604,0.7939287514846416,0.22855563612845525,0.8062404678061637,0.1784867243560173,0.11316947442812235,0.0486942339126869,0.7232066199199437
112,3,0.8,0.05,1,0.9160039571522721,1.2248051714998591,3.859190871347869,2.083996042847728,0.8591908713478688,0.06482315375719101,0.3343303961411919,0.5009968355039209,1.0229540833787638,0.14128703365205686,0.12930768798545403,0.06388996225317944,1.224805171499702
