idx,density,noise,n_edges,gates,ei_micro,ei_macro_best,causal_emergence,macro_n_states,phi_mean,phi_max
169,0.8,0.35,8,copy|or|and,0.12333992753576917,0.12333992753576917,0.0,8,0.0,0.0
170,0.8,0.35,7,and|and|or,0.12208441089618072,0.13636681117721672,0.014282400281036,6,0.0,0.0
171,0.8,0.35,8,majority|or|majority,0.1729078461459994,0.1749164125750693,0.00200856642906988,7,0.0,0.0
172,0.8,0.35,7,and|copy|or,0.16190444730171905,0.16190444730171905,0.0,8,0.0,0.0
173,0.8,0.35,8,parity|copy|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.04768291492479617,0.09536582984959234
174,0.8,0.35,9,or|and|copy,0.12333992753576917,0.12333992753576917,0.0,8,0.0,0.0
175,0.8,0.35,6,parity|parity|copy,0.19779583387352728,0.19779583387352728,0.0,8,0.10394875453605566,0.10394875453605566
176,0.8,0.35,7,and|and|and,0.12323386230430389,0.1435927519390976,0.02035888963479371,5,0.012993594317006958,0.10394875453605566
177,0.8,0.35,7,copy|and|copy,0.17290784614599897,0.17290784614599897,0.0,8,0.0,0.0
178,0.8,0.35,8,copy|copy|and,0.15440620431174468,0.15440620431174468,0.0,8,0.0,0.0
179,0.8,0.35,9,and|copy|majority,0.15875783011055988,0.15875783011055988,0.0,8,0.006071881926542551,0.04857505541234041
