idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
46,3,0.5,0.0,6.0,and|and|parity,0.4,2.0,5,0.5435644432409023,2.5849394142282115e-26,0.035169155951277474,0.0006680026720106872,6.0
47,3,0.5,0.0,5.0,and|parity|or,0.06917291654647396,0.41503749927884376,6,8.261158424005544e-11,0.0,0.035169155951277474,0.471599937358488,5.0
48,3,0.5,0.0,6.0,and|copy|parity,0.4,2.0,5,1.0871288863991926,2.5849394142282115e-26,0.035169155951277474,0.4024089364222609,6.0
49,3,0.5,0.0,3.0,parity|copy|and,0.0,0.0,4,2.0,0.0,0.028135324761021978,0.0006680026720106883,3.0
50,3,0.5,0.0,5.0,and|or|and,0.0,0.0,5,1.104842567658729,0.0,0.014067662380510989,0.0,5.0
51,3,0.5,0.0,5.0,or|or|and,0.0,0.0,3,1.13792538097003,2.5849394142282115e-26,0.014067662380510989,0.0,5.0
52,3,0.5,0.0,4.0,parity|and|parity,0.0,0.0,8,0.0,1.9999999999173894,0.04220298714153297,0.0,4.0
53,3,0.5,0.0,3.0,and|copy|or,0.0,0.0,8,0.0,0.0,0.014067662380510989,0.0,3.0
54,3,0.5,0.0,7.0,and|copy|or,0.0,0.0,5,0.5694152051396562,0.0,0.035169155951277474,0.3333333333333333,7.0
55,3,0.5,0.0,5.0,parity|copy|parity,0.0,0.0,4,1.0000000000413056,0.0,0.028135324761021978,0.0,5.0
56,3,0.5,0.0,4.0,or|or|copy,0.0,0.0,4,2.0,0.0,0.028135324761021978,0.0006680026720106883,4.0
57,3,0.5,0.0,4.0,and|copy|parity,0.5,2.0,4,0.8112781244591329,2.8112781243352165,0.035169155951277474,1.0,4.0
58,3,0.5,0.0,4.0,copy|and|and,0.0,0.0,4,1.13792538097003,2.5849394142282115e-26,0.035169155951277474,0.23546596734323866,4.0
59,3,0.5,0.0,5.0,parity|and|parity,0.0,0.0,4,0.8112781244591329,1.6887218754685822,0.035169155951277474,0.3333333333333333,5.0
60,3,0.5,0.05,4.0,copy|copy|majority,0.0,0.0,8,0.0,1.427206085768088,0.39389454665430773,0.09789930989380959,4.0
61,3,0.5,0.05,7.0,parity|parity|or,0.0,0.0,8,0.9292475566673923,0.8898796008428161,0.45719902736660717,0.6816215288286694,7.0
62,3,0.5,0.05,5.0,or|majority|copy,0.19167645847619266,1.5334116678095413,8,0.43897986792437527,1.7457841374180605,0.33059006594200824,0.3072484000347339,5.0
63,3,0.5,0.05,4.0,copy|and|and,0.0,0.0,8,0.14307989442649682,0.6509920972850035,0.43609753379584065,0.04383075494339075,4.0
64,3,0.5,0.05,6.0,and|copy|copy,0.0,0.0,8,0.05195129904017648,0.07555187677554798,0.3868607154640522,0.1321817083891809,6.0
65,3,0.5,0.05,7.0,and|copy|copy,0.0,0.0,8,0.059728510573475724,0.3019669480837065,0.3727930530835412,0.2336305251444258,7.0
66,3,0.5,0.05,5.0,majority|parity|majority,0.0,0.0,8,0.5470574518127167,0.5718686612378571,0.4079622090348187,0.2762225401912815,5.0
67,3,0.5,0.05,6.0,parity|majority|or,0.0,0.0,8,0.0597285105734755,0.6701458204221717,0.33059006594200824,0.0727656255905588,6.0
68,3,0.5,0.05,5.0,majority|majority|copy,0.0,0.0,8,0.55665528762027,0.5307854001103842,0.4079622090348187,0.4744872701779476,5.0
69,3,0.5,0.05,4.0,parity|and|parity,0.0,0.0,8,0.42766871226511505,2.140809128652131,0.43609753379584065,0.05163678164503224,4.0
70,3,0.5,0.05,5.0,copy|or|or,0.14103239345322918,0.7939287514846416,8,0.009112784743258384,0.2749426199243955,0.33059006594200824,0.05356959538790732,5.0
71,3,0.5,0.05,6.0,and|copy|majority,0.0,0.0,8,0.39154158006834594,0.3861085631854664,0.4079622090348187,0.4572061141065764,6.0
72,3,0.5,0.05,6.0,copy|copy|copy,0.0,0.0,8,0.9292475566673923,0.7308741310403369,0.45016519617635165,0.6801568245489281,6.0
73,3,0.5,0.05,3.0,parity|parity|and,1.5878575029692836,1.5878575029692836,8,0.0,2.1408091286521316,0.4009283778445632,0.016095167034519263,3.0
74,3,0.5,0.05,4.0,or|majority|and,0.39696437574232085,1.5878575029692834,8,0.0195262472726907,0.5411361935649756,0.4220298714153297,0.11741925029625118,4.0
75,3,0.5,0.2,5.0,and|or|parity,0.0,0.0,8,0.054131992485738856,0.4031343146545123,0.8862627299721924,0.09929988791635765,5.0
76,3,0.5,0.2,3.0,parity|parity|or,0.6943456308353413,0.6943456308353413,8,0.0,0.8342157153379128,0.8792288987819369,0.03727549357865174,3.0
77,3,0.5,0.2,6.0,and|copy|or,0.019171858038970112,0.1533748643117609,8,0.03385836687196209,0.5332232569133639,0.9003303923527033,0.15116216353963027,6.0
78,3,0.5,0.2,6.0,and|majority|parity,0.16610843894614155,0.6943456308353413,8,0.03353146174129362,0.7563185179223377,0.8792288987819369,0.1263867771623831,6.0
79,3,0.5,0.2,7.0,or|copy|majority,0.0,0.0,8,0.05652868264296851,0.5723358259233122,0.9143980547332143,0.1644386477134785,7.0
80,3,0.5,0.2,5.0,and|parity|majority,0.08679320385441766,0.6943456308353413,8,0.006444645152851702,0.4898708315987723,0.8651612364014258,0.07985962160082563,5.0
81,3,0.5,0.2,3.0,copy|copy|and,0.0,0.0,8,0.09561854227550626,0.24415000270786358,0.8370259116404039,0.2144712907165415,3.0
82,3,0.5,0.2,4.0,copy|copy|or,0.0,0.0,8,0.020061634403240713,0.30289700178614476,0.8792288987819369,0.046190837794906826,4.0
